Ngay,HangMuc,SoTien,GhiChu
2025-09-01,Ăn uống,120000,Bữa sáng
2025-09-01,Đi lại,50000,Xe buýt
2025-09-01,Giải trí,80000,Cafe
2025-09-02,Ăn uống,150000,Bữa trưa
2025-09-02,Đi lại,60000,Taxi
2025-09-02,Giải trí,200000,Xem phim
2025-09-03,Ăn uống,100000,Bữa tối
2025-09-03,Đi lại,55000,Xe máy
2025-09-03,Mua sắm,250000,Quần áo
2025-09-04,Ăn uống,130000,Bữa sáng
2025-09-04,Giải trí,50000,Cafe
2025-09-04,Đi lại,40000,Xe buýt
2025-09-05,Ăn uống,140000,Bữa trưa
2025-09-05,Đi lại,45000,Taxi
2025-09-05,Giải trí,90000,Xem phim
2025-09-06,Ăn uống,110000,Bữa tối
2025-09-06,Mua sắm,300000,Giày dép
2025-09-06,Đi lại,50000,Xe máy
2025-09-07,Ăn uống,125000,Bữa sáng
2025-09-07,Giải trí,60000,Cafe
2025-10-01,Ăn uống,140000,Bữa sáng
2025-10-01,Đi lại,55000,Xe buýt
2025-10-01,Giải trí,220000,Xem phim
2025-10-02,Ăn uống,160000,Bữa trưa
2025-10-02,Đi lại,65000,Taxi
2025-10-02,Mua sắm,300000,Quần áo
2025-10-03,Ăn uống,110000,Bữa tối
2025-10-03,Đi lại,45000,Xe máy
2025-10-03,Giải trí,60000,Cafe
2025-10-04,Ăn uống,135000,Bữa sáng
2025-10-04,Đi lại,50000,Taxi
2025-10-04,Mua sắm,320000,Giày dép
2025-10-05,Ăn uống,150000,Bữa trưa
2025-10-05,Đi lại,40000,Xe buýt
2025-10-05,Giải trí,90000,Xem phim
2025-10-06,Mua sắm,350000,Quần áo
2025-10-06,Đi lại,60000,Taxi
2025-10-07,Ăn uống,130000,Bữa sáng
2025-10-07,Giải trí,70000,Cafe
2025-10-07,Đi lại,45000,Xe máy
